Check,Keyword,Machine translation,Human translation (if necessary),Notes,Source,Source2,Source3
,狐瘟乱中华,Fox plague chaos China,Hu-Wen disorder in China,criticism of Hu Jintao and Wen Jiabao,,,
,习胡北戴河,Xi Hu Beidaihe,,resort town where CCP leadership gathers to discuss future policies,,,
,内幕江胡斗,Insider Jiang Hu Dou,Behind the scenes Jiang-Hu conflict,Jiang Zemin and Hu Jintao reported infighting,,,
*,江家帮反扑,Jiang's home to help counterattack,Jiang's associates and clique counterattack,Counterattack against Hu's attempt to push them out of power,http://www.epochtimes.com/gb/6/10/2/n1473870.htm,,
,李洪林访谈录,Li Honglin Interview,,"Li Honglin used to be deputy director of the Theory Bureau of the CCP's Propaganda Department, before being pushed out of party for his views on democracy. He gave a prominent interview with Tencent in 2013 where he criticized Mao and others",http://v.qq.com/page/u/0/i/u0012z92qsi.html,http://www.youtube.com/watch?v=psr_JlL1Cus,http://www.letscorp.net/archives/52985
,马正其渎职,Ma is the malfeasance,Ma Zhengqi's wrongdoings,Journalist accused former vice-mayor of Chongqing for malfeasance; journalist was jailed,http://www.globalpost.com/dispatch/news/afp/130825/china-journalist-held-chongqing-rumours,http://www.scmp.com/news/china/article/1292953/another-mainland-journalist-uses-real-name-accuse-official-corruption,
,曾伟曾庆红,Zeng Zeng Qinghong,"Zeng Wei, Zeng Qinghong","Zeng Qinghong was member of Polibitburo Standing Ctte and ally of Jiang. In 2010 Zeng Qinghong's son, Zeng Wei used millions of dollars to buy an Australian property which caught up by the media. (Wikipedia)",http://en.wikipedia.org/wiki/Zeng_Qinghong,http://dailynews.sina.com/gb/chn/chnnews/ausdaily/20130618/16494653020.html,
,洗刷陆肆罪名,Wash Lusi charges,Whitewashing June 4 accusations,"Jack Ma, head of Alibaba who was known for his outspoken nature, made comments supportive of the government's crackdown on June 4 and censorship of the event. He later backtracked and the interviewer at the newspaper, SCMP, tried to remove those references after the article had already gone up. However, netizens noticed and the the reporter was fired for tampering with an article. 陆肆 in China Chats.",http://globalvoicesonline.org/2013/07/17/billionaire-jack-ma-makes-about-face-praises-chinese-government/,http://beijingcream.com/2013/07/scmp-reporter-who-interviewed-jack-ma-resigns/,
,江绵恒的儿子,Mr Jiang 's son,Jiang Mianheng's son,"Jiang Zhicheng, grandson of Jiang Zemin, set up private equity fund. Article mentions images of Zhicheng and his grandfather have become a meme?",http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20120529000053&cid=1101,,
,平反64中共,Rehabilitated 64 CPC,"Rehabilitate/give redress to June 4 [victims], Communist Party","A popular chant at the Hong Kong June 4 commemoration, to ask the Communist Party to politically rehabilitate those who organized the protests and/or were arrested/killed at the event",,,
,民运64屠城,MDC 64 massacre,June 4 movement massacre,,,,
,六四民运人士,Sixty-four democracy activist,June 4 movement activist,,,,
,纪念六四运动,June 4th Movement,June 4 movement commemoration,,,,
,六四学运领导,1989 democracy movement leader,June 4 student leader,,,,
,北京六四屠杀,Beijing Tiananmen massacre,,,,,
,六四维园论坛,Sixty-four Victoria Park Forum,June 4 Victoria Park Forum,,,,
,六四维园集会,Sixty-four Victoria Park rally,June 4 Victoria Park rally,,,,
*,吸金贫立刻抢,Poverty immediately attracts the gold rush,?,,,,
,六四烛光晚会,Candlelight vigil,June 4 candlenight vigil,,,,
,维园六四晚会,4 June vigil at Victoria Park,,,,,
,毋忘64事件,Not to forget the 64 events,Never forget June 4,,,,
,平反89民运,Vindication of 89 pro-democracy movement,,,,,
,维园烛光晚会,Victoria Park candlelight vigil,,,,,
,共产党新唐人,Communist Party NTDTV,,,,,
,八九六四民运,Eight thousand nine hundred sixty-four pro,June 4 movement,,,,
,六四八九民运,Six thousand four hundred eighty-nine pro,June 4 movement,,,,
,彭丽媛的骚穴,Peng Liyuan Saoxue,"Peng Liyuan ""hot/sexy hole""","hot like flirty or salacious, hole as in vagina. A fictitious story featuring Xi Jinping's wife as the main character",http://bbs.6park.com/bbs4/messages/63335.html,,
,总理家人隐秘,Premier family secret,,"Premier being Wen Jiabao, family secret being their immense wealth revealed in NYT expose.",,,
,天安门大屠杀,Tiananmen Square Massacre,,,,,
,严惩影帝家族,Punish winner family,Punish the Best Actor's family,"The ""actor"" being a reference to Wen Jiabao.",http://en.wikipedia.org/wiki/China's_Best_Actor:_Wen_Jiabao,,
,中共活摘器官,Organ Harvesting,Communist Party organ harvesting,"Falun Gong alleges that the CCP harvests organs from members who have been persecuted, captured, and executed.",,,
,糊淘淘温饱饱,Tao Tao paste full of food and clothing,"""Hu Taotao, Wen Baobao""","A critical song about Hu and Wen, patterned as a nursery rhyme of sorts",http://www.boxun.com/forum/201012/boxun2010/158119.shtml,,
*,习家军班底啦,Xi team of military and civilian friends,,Allegations of patronage by Xi in appointing military officers and such.,http://big5.backchina.com/news/2013/10/18/266834.html,,
,六四独光晚会,Sixty-four unique light show,"June 4 independence ""light show""","""light show"" probably the candles which are held aloft during the vigil in Hong Kong",,,
,六四游行,Sixty-four Parade,June 4 parade,,,,
,平反六四,Vindication,Rehabilitate/give redress to June 4,,,,
,中共镇压藏民,Chinese Communist repression of Tibetan,Chinese Communist repression of Tibetans,,,,
,温鸡巴经常哭,Wen Cock often cry,Dick Wen cries everyday,"鸡巴 = penis, but here probably an insulting nickname for Wen Jiabao as opposed to referring to his actual anatomy.",,,
,六四学生死了,Sixty-four student died,June 4 students died,,,,
,许家屯回忆录,Xu Jiatun memoirs,,"former head of HK Xinhua, fled to US after expressing support for June 4 protesters. Was caught up in some corruption allegations, wrote a memoir in 1990 that discussed Hong Kong's history and future",http://books.google.com/books?id=EZzq-2IW4iQC&pg=PA238&lpg=PA238&dq=xu+jiatun+june+4&source=bl&ots=Me0oOfXOnZ&sig=d7-66DXxuEiDaivc8npgbB0CcUM&hl=en&sa=X&ei=aOODUoLoJe224APFnYBA&ved=0CFsQ6AEwBw#v=onepage&q=xu%20jiatun%20june%204&f=false,http://books.google.com/books?id=ZZpCfvK3QhcC&pg=PA297&lpg=PA297&dq=xu+jiatun+memoir&source=bl&ots=9ZRT4Vux85&sig=oxjXsCfDQUYt6EnpzhO-6__JihI&hl=en&sa=X&ei=--KDUoaxEY-l4APK14HYDw&ved=0CDkQ6AEwAg#v=onepage&q=xu%20jiatun%20memoir&f=false,
,香港维园六四,Hong Kong's Victoria Park sixty-four,"Hong Kong's Victoria Park, June 4",,,,
,64反共产党,64 Anti- Communist,June 4 anti-communist,,,,
,六四民运领袖,Sixty-four pro-democracy leader,June 4 pro-democracy leader,,,,
,八九民运实录,Record June incident,the authentic record of the 1989 movement,,,,
,中国太子党,Chinese princeling,,"princeling = the children of political elite, who have special privileges and been alleged to use their connections to enrich themselevs",,,
,六四民运,Sixty-four pro,June 4 movement,,,,
,维园的烛光,Victoria Park candlelight,,,,,
,周永康政变,Zhou Yongkang coup,,"top Chinese politician who was closely connected to Bo Xilai; falsely rumored to be organizing a coup against Wen and Hu in order to rescue Bo. Didn't happen, and is now embroiled in corruption investigation",http://www.bbc.co.uk/news/world-asia-china-17476760,,
,六四大事纪,Sixty-four Events,June 4 event,,,,
*,港支联通讯,Hong Kong Alliance in Support of Communication,Hong Kong Alliance in Support of Patriotic Democratic Movements of China,,,,
,六四二十年,Six hundred forty-two years,June 4 twentieth anniversary,,,,
,六四死难者,Sixty-four victims,June 4 victims,,,,
,中共网络封锁,CCP Internet blockade,,,,,
,中共恶势力,Chinese Communist forces,Chinese Communist evil forces,,,,
,消灭共产党,Elimination of the Communist Party,,,,,
,流氓共产党,Rogue Communist Party,,,,,
,审判共产党,Communist Trial,Try the Communist Party,,,,
,推翻共产党,Overthrow the Communist Party,,,,,
,中南海权斗,Zhongnanhai power struggle,,Zhongnanhai is the seat of political power for the CCP,,,
,共产党必亡,Communist perish,the Communist Party will fall,,,,
,共产党丑闻,Communist Party scandal,,,,,
,共产党灭亡,Demise of the Communist Party,,,,,
,中共的暴政,CCP's tyranny,,,,,
*,共产党禁闻,Wen ban the Communist Party,CCP forbidden news,"A play on ""新闻"", which means news. Name of a series of reports on NTDTV",,,
,中共清场日记,CCP cleared diary,"CCP, the clearing [of Tiananmen Square] diary",Was reportedly issued by government in response to the Tiananmen Papers as a way to bolster the government and military's image,http://www.aboluowang.com/2009/0610/132411.html#.UoPp8Pmsim4,http://www.boxun.com/news/gb/china/2009/06/200906081112.shtml,
,中共腐败内幕,CCP insider corruption,,,,,
,中国禁闻中共,China banned Wen CPC,"Chinese forbidden news, CCP",,,,
,中共网络监控,CPC Network Monitoring,CCP Internet monitoring,,,,
