word_id,word,human_translation,machine_translation,pinyin,description,client,lists,category,category_id,theme
2,六四,"In reference to the Tiananmen Square protests that occurred on June 4th, 1989. This is literally the numbers ""64"".",Sixty-four,liù sì,,Multiple,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,Tiananmen Square (June 4 1989),34,Event
3,学潮,,Campus upheaval,xué cháo,"Reference to student movements in the 1989 democracy movement and eventually the events of June, 1989.",Multiple,Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,Tiananmen Square (June 4 1989),34,Event
4,操你妈,,Fuck,cāo nǐ mā,"This may also be a reference to a Chinese Internet meme used to symbolize the defiance of censorship in China. The name of these meme is [草泥马] (literally Grass mud horse) and pronounced ""cao ni ma."" It was made famous by dissident artist Ai Weiwei. For more information, please see: http://en.wikipedia.org/wiki/Grass_Mud_Horse.",Multiple,9158 Nicknames;GuaGua;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
5,法轮,Falun,Falun,fǎ lún,A reference to the Falun Gong movement,Multiple,9158 Nicknames;GuaGua;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Falun Gong,47,Political
6,flg,Falun Gong,,,"Initials for Falun Gong

For more information on Falun Gong and Falun Dafa, please see: http://www.falundafa.org/; http://en.wikipedia.org/wiki/Falun_Gong.",Sina Show,Sina Show,Falun Gong,47,Political
7,falungong,Falun Gong,,,,Multiple,GuaGua;Sina Show Built-in;Sina Show Built-in UCClient.dll,Falun Gong,47,Political
8,falundafa,Falun Dafa,,,Another name for Falun Gong,Multiple,GuaGua;Sina Show Built-in;Sina Show Built-in UCClient.dll,Falun Gong,47,Political
10,fuck,,,,,Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Prurient,1,Social
11,真善忍,"Truthfulness, Compassion, Tolerance",Truthfulness,zhēn shàn rěn,"These three characters are zhen, shan and ren, which correspond to Falun Gong principles",Sina Show,Sina Show Built-in;Sina Show Built-in UCClient.dll,Falun Gong,47,Political
13,大纪元,Epoch Times,The Epoch Times,dà jì yuán,A news organization affiliated with Falun Gong that is often critical of China's government.,Multiple,9158;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,Chinese independent / opposition,85,Political
14,吾尔开希,Wu'erkaixi (Person's name),Wuerkaixi,wú ěr kāi xī,"Wu'erkaixi is an ethnic Uyghur student who participated in the Tiananmen protests in 1989. He was expelled from China and is currently residing in Taiwan as a political commentator. For more information, please see: http://en.wikipedia.org/wiki/Wu%27erkaixi.",Multiple,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,Dissident/Activist/Rights defender,93,People
15,方励之,Fang Lizhi (Person's name),Fang Lizhi,fāng lì zhī,"A professor who was expelled from China in 1987 because of the student movement that was inspired by his liberal ideas, in the years leading up to June, 1989.",Multiple,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,Dissident/Activist/Rights defender,93,People
21,未来中国论坛,Future China Forum,Future China Forum,wèi lái zhōng guó lùn tán,"This could be a reference to this website: http://bbs.futurechinaforum.org/ which discusses different political, religious, economic topics. It is likely related to the Falun Gong movement. ",Multiple,Sina Show;YY High,Falun Gong,47,Political
23,高勤荣,"A former reporter for China's official Xinhua News Agency who was imprisoned for 8 years after writing an article about a scam irrigation project.  The article was never published but was widely circulated.  He was sentenced to 12 years for embezzlement, fraud, and pimping, but served only 8 years.",High Qinrong,gāo qín róng,,Sina Show,Sina Show,Victims of Crime / Violent Criminals,124,People
27,胡紧掏,President of the People's Republic of China.,Hu tight dig,hú jǐn tāo,Homonym. ,Multiple,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,CPC member / Gov official,119,People
33,黄菊,Huang Ju,Huang,huáng jú,"A politician who was a powerful member of the ""Shanghai Clique"", a political clique associated with former president Jiang Zemin.  He and his family members were involved in various corruption cases.",Multiple,GuaGua;Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,CPC member / Gov official,119,People
36,江绵恒,Jiang Mianheng,Mr Jiang,jiāng mián héng,"This is Jiang Zemin's son. Jiang Mianheng was recently involved in major corruption scandals in China. For more information, please see: http://www.wantchinatimes.com/news-subclass-cnt.aspx?id=20120327000003&cid=1601; http://www.nytimes.com/2012/05/18/world/asia/china-princelings-using-family-ties-to-gain-riches.html?pagewanted=all&_r=0. ",Sina Show,Sina Show,Relatives / associates of government officals,105,People
38,张德江,Person's name,Zhang Dejiang,zhāng dé jiāng,"Zhang Dejiang is a vice premier of China, a member of the Communist Party's Politburo, and party chief in Chongqing (succeeding Bo Xilai). On July 23, 2011, Zhang Dejiang was head of rescue efforts of the train crash. He and other party leaders ordered the burial of the wreckage. For more information, please see: http://www.theepochtimes.com/n2/china-news/in-wake-of-rail-disaster-hints-of-a-power-struggle-59766.html; http://chinadigitaltimes.net/2012/07/wenzhou-train-burying-continues/.",Multiple,9158;Sina Show,CPC member / Gov official,119,People
39,赵紫阳,Zhao Ziyang (Person's name),Zhao Ziyang,zhào zǐ yáng,"A former Premier of China who was sympathetic to the June 4th Tiananmen Square protesters and dismissed from his post.
For more information, please see: http://en.wikipedia.org/wiki/Zhao_Ziyang. ",Multiple,Sina Show;YY High,CPC member / Gov official,119,People
42,瘟家宝,Wen Jiabao,Blast Jiabao,wēn jiā bǎo,Wen Jiabo is the Premier of the People's Republic of China and a leading economic policy figure.,YY,YY High,CPC member / Gov official,119,People
72,共匪,Communist gangsters,Bandits,gòng fěi,,Multiple,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll;YY High,Criticism,128,Political
92,美国之音,,Voice of America,měi guó zhī yīn,"For more information on VOA, please see: http://en.wikipedia.org/wiki/Voice_of_America; http://www.voanews.com/. ",Sina Show,Sina Show;Sina Show Built-in;Sina Show Built-in UCClient.dll,International,79,Political
122,零八宪章,Charter 08,Charter 08,líng bā xiàn zhāng,"A manifesto signed by over 350 intellectuals, activists, and former party officials in 2008.  It was modeled after the anti-soviet Charter 77 in Czechoslovakia in 1977.  Liu Xiaobo was a major author and signatory, and the 08 charter was a major reason for his arrest.",Multiple,Sina Show;YY High,Charter 08,77,Political
