Theme,Category,Description,Keyword Examples ,Reference
Event,16th CPC National Congress ,"The 16th National Congress of the CPC was held on November 8-14, 2002 in Beijing. The Congress marked the transition of power between Jiang Zemin and Hu Jintao. ",十六大 (Sixteenth Party Congress),http://en.wikipedia.org/wiki/16th_National_Congress_of_the_Communist_Party_of_China 
Event,18th CPC National Congress,"The 18th National Congress of the Communist Party of China began on November 8, 2012 in Beijing, China. The Congress marked the transition of power between  Hu Jintao and Xi Jingping ",十八大 (Eighteen Party Congress),https://en.wikipedia.org/wiki/18th_National_Congress_of_the_Communist_Party_of_China
Event,APEC 2014,"
The APEC China 2014 was the 22nd annual gathering of APEC leaders. It was held in Beijing from 10–12, November 2014.","为了一个APEC
(due to APEC)",https://en.wikipedia.org/wiki/APEC_China_2014
Event ,Arab Spring,"The Arab Spring was a series of anti-government protests, uprisings and armed rebellions that spread across the Middle East in early 2011.","阿拉伯之春
(Arab Spring)",https://en.wikipedia.org/wiki/Arab_Spring
Event,Beijing Olympics ,"The 2008 summer olympic games took place in Beijing, China, from 8 to 24 August 2008","抵制奥运
(Boycott the Olympics)
",https://en.wikipedia.org/wiki/2008_Summer_Olympics
Event,Bloomberg Censorship,Following  the June 2012 publication of a story revealing the family fortune of Xi Jinping Bloomberg was blocked in China.,"彭博在中国被屏蔽
(Bloomberg is blocked in China)",http://www.bloomberg.com/news/articles/2012-06-29/xi-jinping-millionaire-relations-reveal-fortunes-of-http://www.theguardian.com/world/2012/jun/29/china-bloomberg-xi-jinping
Event ,Bo Xilai Scandal,"Bo Xilai is a former Chinese politician. He came to prominence through his tenures as the mayor of the coastal economic hub of Dalian and then governor of Liaoning province. On 22 September 2013, Bo was found guilty of corruption, stripped of all his assets, and sentenced to life imprisonment",薄熙来倒了 下一个周永康 (Bo Xilai has fallen -- Zhou Yongkang is next),https://en.wikipedia.org/wiki/Bo_Xilai
Event,Carrefour Boycott,"In April 2008, after the 2008 Olympic torch relay was disrupted by Tibetan independence advocates in London and especially Paris, Pro-government activists in China promoted boycotting Carrefour because of its French roots","抵制家乐福
(Carrefour Boycott)",http://en.wikipedia.org/wiki/Carrefour#Boycott_of_supplies_in_China
Event,China's National Day,"References to National Day of the People's Republic of China, a public holiday in the People's Republic of China celebrated annually on October 1",抵制家乐福 (National Day),https://en.wikipedia.org/wiki/National_Day_of_the_People%27s_Republic_of_China
Event,Chinese Doomsday Cult Arrests,"Reference to arrests of members of the Eastern Lighting ""dooms day"" cult in China ",大红龙 福音 (Red Dragon Gospel),http://www.guardian.co.uk/world/2012/dec/19/china-arrests-religious-cult-apocalypse
Event,Cultural Revolution,"On May 16 1966, a notification was published by the Communist Party of China (CPC) that described Mao's ideological justification for the Cultural Revolution. Opinions over the legacy of the revolution remain divided.","反思文革
(Reflections on Cultural Revolution)",https://en.wikipedia.org/wiki/Cultural_Revolution
Event,Dai Jianyong Arrest ,"Dai Jianyong (also known as 麻痹哥, ""paralysis brother"") is a Shanghai artist who was detained by Chinese police for “picking quarrels and provoking trouble"" after he produced a satirical image of President Xi Jinping.","麻痹哥
(Paralysis brother)",http://www.independent.co.uk/news/world/asia/chinese-artist-who-posted-funny-image-of-president-xi-jinping-facing-five-years-in-prison-as-10282630.html
Event,Diaoyu / Senkaku islands protests,"The Senkaku Islands dispute, or Diaoyu Islands dispute, concerns a territorial dispute over a group of uninhabited islands known as the Senkaku Islands in Japan, the Diaoyu Islands in the People's Republic of China (PRC),and Tiaoyutai Islands in the Republic of China (ROC or Taiwan)",钓鱼岛 (Diaoyu Islands),https://en.wikipedia.org/wiki/Senkaku_Islands_dispute
Event,Ezubao,"Ezubao (E租宝), was a peer-to-peer financial platform based in the eastern Chinese province of Anhui that took in more than 50 billion yuan from 900,000 investors before it came under investigation in December 2015. It was subsequently shut down and 21 people involved with the scheme were arrested.",e 租宝 (Ezubao),https://en.wikipedia.org/wiki/Ezubao
Event,Ferrari Crash ,"In March 2012, there was a fatal car crash involving a Ferrari, that was driven by the son of party official close to President Hu Jintao. Within hours of the crash, photos were deleted off the Internet and searches of ""Ferrari"" were blocked. ",北京 法拉利车祸 (Beijing Ferrari car accident),http://www.guardian.co.uk/world/2012/sep/03/china-scandal-fatal-ferrari-crash 
Event ,Flight MH370,"Malaysia Airlines Flight 370 (MH370/MAS370)was a scheduled international passenger flight operated by Malaysia Airlines that disappeared on 8 March 2014 while flying from Kuala Lumpur International Airport, Malaysia, to Beijing Capital International Airport in China. ","参会教徒乘坐MH370返京
",https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_370
Event,Forced demolitions,References to forced demolitions and illegal land seizures and land grabs in urban and rural parts of China.,府右街拆 (Fuyou Street demolition),https://en.wikipedia.org/wiki/Forced_evictions_in_China
Event,G20,"The 11th meeting of the G20 was held from September 4 to 5 2016 in Hangzhou. In President Xi Jinping’s opening speech he made a gaffe accidentally saying “reduce taxes and make roads easy [to travel on], facilitate commerce, and loosen clothing” (轻关易道，通商宽衣) when he should have said “reduce taxes and make roads easy [to travel on], facilitate commerce and be lenient to farmers” (轻关易道，通商宽农)","通商寬yi
(Facilitate Commerce and Loosen Clothing)",https://www.hongkongfp.com/2016/09/06/president-xi-jinpings-take-off-clothes-g20-gaffe-censored-in-china/
Event,Google leaving China,"On January 12, 2010, Google announced that it was ""no longer willing to continue censoring"" results on Google.cn, citing a breach of Gmail accounts of Chinese human rights activists.","向谷歌献花
(Flowers to Google)",https://en.wikipedia.org/wiki/Operation_Aurora
Event,Hong Kong Booksellers,"Lam Wing-kee, one of five Hong Kong booksellers who went missing in 2015 and turned up in mainland custody revealed details of his detention at a press conference in Hong Kong on June 16, 2016. Lam said that he had been put through eight months of mental torture and was forced to provide a televised confession.","林荣基
(Lam Wing Kee)",https://en.wikipedia.org/wiki/Causeway_Bay_Books_disappearances
Event,Hong Kong Localist LegCo Plans,"On Feburary 29 2016, three localist political Hong Kong groups, Civic Passion, Hong Kong Resurgence Order and Proletariat Political Institute announced plans for the September 2016 Legislative Council Election.",五區公投 (Five district referendum),https://www.hongkongfp.com/2016/02/29/localist-groups-announce-action-plan-for-sept-legco-election-as-cy-urged-to-reflect-on-by-election-result/
Event,Inner Mongolia Protests ,"In May 2011 protests broke out in Xiwuqi, Inner Mongolia. Protests arose after the death of Mr. Morigen (Mergen), a Mongolian herder who was killed by a Han truck driver. Chinese officials order clampdowns and censorship.",杀害牧民 (Murder of Herders),http://en.wikipedia.org/wiki/2011_Inner_Mongolia_unrest
Event,ISIS Crisis ,"A popular online travel show, On The Road (侣行) was banned in China after an episode in which the hosts visited Kurdish fighters in northern Iraq and flew a drone over ISIS filming military positions in neighbouring Syria. The hosts claimed the footage was shared with the French Air Force who used it to target bombing raids. Media reports claim the show may have been banned over concern that it could incite retaliation from ISIS.",侣行 (On The Road),https://www.ft.com/content/4c3e703e-9fd6-11e5-beba-5e33e2b79e46
Event,Jasmine Revolution,"2011 Chinese pro-democracy protests, also known as the Chinese Jasmine Revolution refer to public assemblies in over a dozen cities in China starting on 20 February 2011, inspired by and named after the Jasmine Revolution in Tunisia. ",Jasmine革命 (Jasmine Revolution),https://en.wikipedia.org/wiki/2011_Chinese_pro-democracy_protests
Event,Jiang Zemin death rumour,"Reference to rumours of Jiang Zemin, China's former President, being critically ill and dying",J总病危 (Chief Jiang critically ill),http://www.bloomberg.com/news/2011-07-06/former-chinese-president-jiang-zemin-critically-ill-hong-kong-media-say.html
Event ,Jingwen incident,"May 2013 event when women fell from building, police ruled suicide, family organized thousands in march to ask for investigation",袁利亚离奇死亡 (Yuan Liya died mysteriously),https://zh.wikipedia.org/wiki/%E4%BA%AC%E6%B8%A9%E4%BA%8B%E4%BB%B6
Event,Kashgar Riots,"In February 2012, riots broke out in the City of Kashgar, in Xinjiang, China killing 12 people","喀什暴乱
(Kashgar Riots)",http://www.theguardian.com/world/2012/feb/28/china-riots-dead
Event,Kunming attack,"In the evening of March 1, 2014, a knife attack occurred inside the Kunming Railway Station in Kunming, Yunnan, China.","如果新疆的恐怖分子不是砍昆明
",https://en.wikipedia.org/wiki/2014_Kunming_attack
Event,Miao Deshun Release ,"In May 2016, news reports circulated that Miao Deshun, a man believed to be the last person still in prison for participating in the 1989 Tiananmen protests is scheduled to be released in October, 2016. He was convicted of arson for throwing a basket onto a burning tank and was sentenced to death with a two-year reprieve in August 1989.","苗德顺
Miao Deshun",http://www.ibtimes.com/tiananmen-square-protests-last-known-prisoner-miao-deshun-be-released-after-27-years-2432097
Event ,Occupy Central HK,References to Occupy Central and the Umbrella movement ,"大学生罢课
(Students go on strike)",https://en.wikipedia.org/wiki/2014_Hong_Kong_protests
Event,Occupy movement,"Occupy movement is an international socio-political movement against social inequality and lack of ""real democracy"" around the world, its primary goal being to advance social and economic justice and new forms of democracy.",占领上海 (Occupy Shanghai),https://en.wikipedia.org/wiki/Occupy_movement
Event,Oil Price Protest ,"In 2012, reports of high oil prices were suspected to cause social instability. ",油价 占领 (Oil price occupy),http://blogs.voanews.com/breaking-news/2012/03/21/china-high-oil-prices-could-cause-social-unrest
Event,Oscars 2016,"Popular online streaming sites abruptly cancelled plans to live broadcast the 88th Academy Awards on the eve of the Oscars night in China. Broadcasting of the awards were taken over 1905.com (run by a state agency), which aired it with a 15 second delay. Speculations attribute the cancellation to sensitivities over one of the nominees for Best Documentary Feature, “Winter on Fire”, a film on the Euromaidan protests in Ukraine","
凛冬烈火
Winter on fire",http://chinadigitaltimes.net/2016/02/china-cheers-dicaprios-oscar-win-though-online-broadcasts-halted/
Event,Scarborough Shoal standoff,"The Scarborough Shoal standoff refers to tensions between China (PRC) and the Philippines which began on April 8, 2012 over the Philippine Navy apprehension of eight mainland Chinese fishing vessels in the disputed Scarborough Shoal.",攻击菲律宾,https://en.wikipedia.org/wiki/Scarborough_Shoal_standoff
Event,Sichuan earthquake ,"The 2008 Sichuan earthquake occurred at 02:28:01 PM China Standard Time on May 12, 2008. measuring at 8.0 Ms,] the earthquake's epicenter was located 80 kilometres (50 mi) west-northwest of Chengdu, the provincial capital, with a focal depth of 19 km (12 mi).",不能说的真话 (Truth that cannot be spoken),https://en.wikipedia.org/wiki/2008_Sichuan_earthquake
Event,South China Sea,"In a case known as the South China Sea Arbitration, the Philippines under provisions of the United Nations Conventions on the Law of the Sea brought complaints against China over territorial claims in the South China Sea. On July 12, 2016, an international tribunal in the Hague ruled in favour of the Philippines and concluded that China has no legal basis to claim historical rights in the South China Sea. China rejected the ruling.","南海仲裁
South China Sea Arbitration",https://en.wikipedia.org/wiki/Philippines_v._China
Event,South Korea Yellow Sea Incidents,There are a number of incidents involving South Korea and China confrontations in the yellow sea. In 2011 a South Korean coast guard was killed while trying to seize a Chinese fishing boat. In 2012 a Chinese fisherman was killed following confrontation with South Korean coast guard. In 2014 a Chinese was also killed during a raid of his vessel by South Korean coastguards.,"中国驻韩大使馆
(Chinese Embassy in Seoul)",http://www.reuters.com/article/2014/10/10/us-southkorea-china-idUSKCN0HZ09M20141010
Event ,Support Cantonese Movement ,"Southern Chinese province Guangdong’s official broadcaster guangdong TV was reported to plan to quietly switch most of its programming from Cantonese to Mandarin on September 1, 2015. The news sparked a round of criticism among Cantonese speakers in Guangzhou city. The “Hold Up Cantonese Movement” (撑粤语/chēng yuèyǔ) initially started in July 2010 when the Chinese People’s Political Consultative Conference Guangzhou Committee proposed increasing Mandarin programming on Guangzhou Television’s main and news channels. As Hong Kong is also a Cantonese-speaking city, some has also linked preserving the language to preserving “Hong Kong identities”. 
",撑粤语 (Support Cantonese),https://en.wikipedia.org/wiki/Guangzhou_Television_Cantonese_controversy
Event,Tainted Milk Scandal ,"References to the 2008 Chinese milk scandal, a food safety incident in the People's Republic of China, involving milk and infant formula, and other food materials and components, adulterated with melamine.",食品安全 (Food safety),http://en.wikipedia.org/wiki/2008_Chinese_milk_scandal
Event,Tian Guo Marching Band,"In June 2016, over 20,000 residents in San Francisco signed a petition to show support for the Tian Guo Marching Band of Western America, a Falun Gong-related organization. On April 17, 2016, a parade by the group was canceled right before it was to being because “content on the parade banner does not match that on the parade application.”","天國樂團
(Tian Guo Marching Band)",http://www.theepochtimes.com/n3/1334123-new-york-parade-continues-changes-begun-16-years-ago-in-china/
Event,Tianjin Explosion ,A series of explosions in a container storage station at the Port of Tianjin killed 173 people and injured hundreds of others. Reporting on the event was heavily restricted by Chinese authorities particularly rumors and comments critical of how the government handled the incident.,"天津核爆炸
(Explosions in Tianjin were nuclear)",https://en.wikipedia.org/wiki/2015_Tianjin_explosions
Event,Tiananmen Square Massacre,"The Tiananmen Square protests were student-led demonstrations in Beijing in 1989. The protests were forcibly suppressed after the government declared martial law. In what became widely known as the Tiananmen Square Massacre, troops with assault rifles and tanks killed at least several hundred demonstrators trying to block the military's advance towards Tiananmen Square.","64示威
(64 demonstrators)",https://en.wikipedia.org/wiki/Tiananmen_Square_protests_of_1989
Event,Tibetan Self-immolations,Self-immolations are a controversial form of protest that Tibetans have used as a statement of opposition to Chinese government practices concerning Tibet,自焚 (Self-immolation),https://en.wikipedia.org/wiki/Self-immolation_protests_by_Tibetans_in_China
Event,Urumqi Riots ,"The July 2009 Ürümqi riots were a series of violent riots over several days that broke out on 5 July 2009 in Ürümqi, the capital city of the Xinjiang, China","
乌鲁木齐血债血偿
(Urumqi, blood for blood)",http://en.wikipedia.org/wiki/July_2009_%C3%9Cr%C3%BCmqi_riots
Event,Wenzhou train crash ,"On July 23, 2011, two high-speed trains travelling on the Yongtaiwen railway line collided on a viaduct in the suburbs of Wenzhou, Zhejiang province, China.",张副总 动车 (Vice Premier Zhang -- train),https://en.wikipedia.org/wiki/Wenzhou_train_collision
Event,Wukan Mass Protest,"Wukan is a fishing village in southern Guangdong that has earned renown for activism. In 2016, villagers took to the streets calling for the a detained democratically-elected local leader and party secretary Lin Zulian and the resolution of a long-simmering dispute over land sales.",林祖銮 (Lin Zulian),http://chinadigitaltimes.net/2016/06/wukan-villagers-protest-village-chiefs-detention/
Event,YY sex video,A performer on YY.com caused a scandal on social media when she accidentally livestreamed herself having sex on the platform.,YY不雅视频 (YY indecent video),
Event,Zhou Yongkang sentence,"On June 11 2015 as part of President Xi Jinping's anti-corruption campaign, Zhou Yongkang, who was once one of China's most powerful political figures, was sentenced to life in prison on corruption charges. ","一审被判无期
(Sentenced to life in prison in the first tria)l",http://www.wsj.com/articles/chinas-former-security-chief-zhou-yongkang-sentenced-to-life-in-prison-1434018450
Misc,Company Name,Names of specific companies ,基金博裕 (Boyu Capital Advisory),
Misc,Context unclear,"Words or terms for which the context, meaning or relevance can not be determined.",Baby Mama Drama,
Misc,Business,General terms that refer to business practices that are too general to fit in any other category.,大亨 (Tycoon),
People ,Context unclear,Names without clear context or match to an Individual,高景云 (Gao Jingyun),
People ,CPC member / Gov official,Names of CPC members / government officials ,温家宝 (Wen Jiabao),
People ,Dissident,"Names of dissidents / activists. These terms are not always synonymous. For example, a rights defender advocating for land rights may not be politically against the CPC (as a political dissident would be). However, for now, these will be grouped together as they are often the targets of government harassment.",郭飛雄 (Guo Feixiong),
People ,Relatives / associates of government officials ,Names of relatives and associates of prominent government officials.,"习夫人
 (Wife of Xi [Jinping] aka Peng Liyuan)",
People ,Victims of Crime / Violent Criminals,"Victims  / perpetrators of crimes (e.g. murder, rape, etc)",苏秀文 (Su Xiuwen),
Political ,Banned books ,China has strict regulations on the publishing industry and that is why many dissent writers have resorted to Hong Kong and Taiwan to publish on “sensitive” topics.," “黄祸”, Yellow Peril written by Wang Lixiong",
Political ,Censorship ,"Explicit references to Great Fire Wall, Internet filtering in China, and censorship of other media / content.",河蟹社会 (river crab society / harmonious society),
